clean_names,name,sflag,AphiaID,HAB,warning_level,italic
Protoperidinium_depressum,Protoperidinium depressum,,110217,FALSE,,TRUE
Protoperidinium_divergens-like,Protoperidinium,sp.,109553,FALSE,,TRUE
Protoperidinium_spp,Protoperidinium,spp.,109553,FALSE,,TRUE
Prymnesiales,Prymnesiales,,115061,FALSE,,FALSE
Prymnesium_polylepis-like,Prymnesium,sp.,160563,TRUE,,TRUE
Pseudo-nitzschia_seriata-like,Pseudo-nitzschia,sp.,149151,TRUE,100000,TRUE
Pseudo-nitzschia_spp,Pseudo-nitzschia,spp.,149151,TRUE,100000,TRUE
Pseudochattonella-like,Pseudochattonella,spp.,531445,TRUE,,TRUE
Pseudopedinella-like,Actinomonadaceae,,1652121,FALSE,,FALSE
Pseudosolenia_calcar-avis,Pseudosolenia calcar-avis,,163344,FALSE,,TRUE
Pterosperma_dictyon-like,Pterosperma,sp.,160595,FALSE,,TRUE
Pterosperma_spp,Pterosperma,spp.,160595,FALSE,,TRUE
Pterosperma_vanhoeffenii-like,Pterosperma,sp.,160595,FALSE,,TRUE
Ptychocylis-like,Ptychocylididae,,196207,FALSE,,FALSE
Pyramimonas_longicauda,Pyramimonas longicauda,,160513,FALSE,,TRUE
Pyramimonas_spp_large,Pyramimonas,spp.,134529,FALSE,,TRUE
Pyramimonas_spp_small,Pyramimonas,spp.,134529,FALSE,,TRUE
Pyrocystis_cf_lunula,Pyrocystis,spp.,109571,FALSE,,TRUE
Rhizosolenia_Pseudosolenia,Rhizosoleniaceae,,149068,FALSE,,FALSE
Rhizosolenia_hebetata_f_semispina,Rhizosolenia hebetata f. semispina,,149071,FALSE,,TRUE
Rhizosolenia_imbricata,Rhizosolenia imbricata,,149116,FALSE,,TRUE
Rhizosolenia_setigera,Rhizosolenia setigera,,149115,FALSE,,TRUE
Rhizosolenia_spp,Rhizosolenia,spp.,149069,FALSE,,TRUE
Rhizosolenia_styliformis,Rhizosolenia styliformis,,149629,FALSE,,TRUE
Scenedesmus_spp,Scenedesmus,spp.,160602,FALSE,,TRUE
Scrippsiella_acuminata-like,Scrippsiella,sp.,109545,FALSE,,TRUE
